appid,name,developer,publisher,genres,tags,genre_count,tag_count,price,initial_price,discount,is_free,positive,negative,total_reviews,review_score_pct,target,owners,owners_min,owners_max,owners_midpoint,average_forever,median_forever,average_2weeks,ccu
1245620,ELDEN RING,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment","Action, RPG",Souls-like;Open World;Dark Fantasy;RPG;Difficult;Action RPG;Third Person;Multiplayer;Fantasy;Singleplayer;Online Co-Op;Action;Co-op;Atmospheric;PvP;Great Soundtrack;Violent;3D;Character Customization;Family Friendly,2,20,59.99,59.99,0.0,0,981540,75137,1056677,0.9289,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,29529
105600,Terraria,Re-Logic,Re-Logic,"Action, Adventure, Indie, RPG",Open World Survival Craft;Sandbox;Survival;2D;Multiplayer;Adventure;Pixel Graphics;Crafting;Building;Exploration;Co-op;Open World;Online Co-Op;Indie;Action;RPG;Singleplayer;Replay Value;Platformer;Atmospheric,4,20,9.99,9.99,0.0,0,1373979,35494,1409473,0.9748,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,24580
2694490,Path of Exile 2,Grinding Gear Games,Grinding Gear Games,"Action, Adventure, Massively Multiplayer, RPG, Early Access",Action RPG;Hack and Slash;RPG;Souls-like;MMORPG;Dark Fantasy;Isometric;Action;Loot;Dungeon Crawler;Adventure;Multiplayer;Online Co-Op;Character Customization;Early Access;Inventory Management;Crafting;Horror;Dark;Free to Play,5,20,29.99,29.99,0.0,0,118511,50510,169021,0.7012,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,16727
431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",Mature;Utilities;Anime;Software;Design & Illustration;Animation & Modeling;First-Person;NSFW;Indie;Memes;Cute;Action;Singleplayer;Funny;Early Access;Photo Editing;Sandbox;Horror;Gaming;Game Development,6,20,4.99,4.99,0.0,0,876898,17560,894458,0.9804,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,91184
1086940,Baldur's Gate 3,Larian Studios,Larian Studios,"Adventure, RPG, Strategy",RPG;Character Customization;Choices Matter;Story Rich;Turn-Based Combat;Dungeons & Dragons;CRPG;Fantasy;Adventure;Sexual Content;Romance;Online Co-Op;Multiplayer;Strategy;Singleplayer;Co-op Campaign;Nudity;Class-Based;Dark Fantasy;Combat,3,20,44.99,59.99,25.0,0,736688,23974,760662,0.9685,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,54771
291550,Brawlhalla,Blue Mammoth Games,Ubisoft,"Action, Indie, Free To Play",Free to Play;Multiplayer;Fighting;2D Fighter;2D Platformer;Casual;Local Multiplayer;Co-op;Controller;Platformer;Action;Online Co-Op;Local Co-Op;Fantasy;4 Player Local;Family Friendly;e-sports;Cartoony;Singleplayer;Indie,3,20,0.0,0.0,0.0,1,314809,71647,386456,0.8146,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,14169
4000,Garry's Mod,Facepunch Studios,Valve,"Casual, Indie, Simulation",Sandbox;Moddable;Multiplayer;Physics;Building;Casual;Funny;First-Person;Singleplayer;FPS;Simulation;Comedy;Online Co-Op;Co-op;Shooter;Action;Indie;PvP;Realistic;Exploration,3,20,4.99,9.99,50.0,0,1122546,37161,1159707,0.968,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,18400
1085660,Destiny 2,Bungie,Bungie,"Action, Adventure, Free To Play",Free to Play;Open World;Multiplayer;Looter Shooter;MMORPG;FPS;Co-op;PvE;PvP;Shooter;Massively Multiplayer;Loot;First-Person;Sci-fi;Action;Adventure;Lore-Rich;Space;Competitive;Atmospheric,3,20,0.0,0.0,0.0,1,497891,127725,625616,0.7958,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,24619
359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,Action,FPS;PvP;Multiplayer;Tactical;e-sports;Shooter;Competitive;Online Co-Op;Action;Hero Shooter;Team-Based;Military;Strategy;First-Person;Co-op;Realistic;War;Destruction;Difficult;3D,1,20,19.99,19.99,0.0,0,1172854,225730,1398584,0.8386,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,51847
252490,Rust,Facepunch Studios,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG",Survival;Crafting;Multiplayer;Open World;Open World Survival Craft;Building;PvP;Sandbox;Adventure;First-Person;Action;Nudity;FPS;Shooter;Co-op;Online Co-Op;Indie;Post-apocalyptic;Early Access;Simulation,5,20,39.99,39.99,0.0,0,1071135,156649,1227784,0.8724,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,143870
552990,World of Warships,Wargaming Group Limited,Wargaming Group Limited,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play",Free to Play;Naval Combat;Action;Co-op;Tactical;Online Co-Op;Multiplayer;Naval;PvP;World War II;War;Military;Team-Based;Massively Multiplayer;PvE;Simulation;Historical;Shooter;Realistic;Third-Person Shooter,5,20,0.0,0.0,0.0,1,112887,33665,146552,0.7703,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,8518
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA","Action, Adventure, Indie, Massively Multiplayer, RPG",Open World Survival Craft;Survival;Multiplayer;Open World;Dinosaurs;Crafting;Building;Adventure;Base-Building;Co-op;Action;Sandbox;First-Person;Massively Multiplayer;Singleplayer;Early Access;RPG;Dragons;Sci-fi;Indie,5,20,14.99,14.99,0.0,0,612177,117993,730170,0.8384,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,22170
413150,Stardew Valley,ConcernedApe,ConcernedApe,"Indie, RPG, Simulation",Farming Sim;Pixel Graphics;Multiplayer;Life Sim;RPG;Relaxing;Agriculture;Simulation;Crafting;Sandbox;Indie;Building;Singleplayer;Casual;Open World;2D;Dating Sim;Cute;Great Soundtrack;Fishing,3,20,14.99,14.99,0.0,0,872384,13811,886195,0.9844,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,50662
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,"Action, Adventure, Indie, Simulation",Open World Survival Craft;Survival;Open World;Horror;Crafting;Adventure;Building;Survival Horror;First-Person;Action;Exploration;Sandbox;Singleplayer;Atmospheric;Simulation;Gore;Realistic;Indie;Zombies;Early Access,4,20,19.99,19.99,0.0,0,599805,27986,627791,0.9554,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,2892
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play",Free to Play;Dark Fantasy;Action RPG;Hack and Slash;Loot;MMORPG;Multiplayer;Dungeon Crawler;Isometric;Character Customization;RPG;Online Co-Op;Singleplayer;Inventory Management;Action;PvP;Horror;Massively Multiplayer;Fantasy;Adventure,6,20,0.0,0.0,0.0,1,209822,25269,235091,0.8925,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,4694
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment,"Action, RPG",Co-op;Action;FPS;Heist;Multiplayer;Looter Shooter;Online Co-Op;Stealth;Crime;Shooter;Team-Based;First-Person;Great Soundtrack;Gun Customization;Tactical;PvE;Strategy;Singleplayer;Funny;Simulation,2,20,4.99,9.99,50.0,0,594327,68755,663082,0.8963,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,27254
291480,Warface: Clutch,MY.GAMES,MY.GAMES,"Action, Massively Multiplayer, Free To Play",Free to Play;FPS;Multiplayer;Shooter;Action;PvP;Co-op;Gun Customization;Character Customization;First-Person;Online Co-Op;Team-Based;Tactical;Realistic;Class-Based;Massively Multiplayer;Military;PvE;War;Competitive,3,20,0.0,0.0,0.0,1,54554,27643,82197,0.6637,0,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,270
901583,Grand Theft Auto IV: Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,"Action, Adventure",Open World;Action;Automobile Sim;Multiplayer;Crime;Third Person;Adventure;Singleplayer;Third-Person Shooter;Moddable;Sandbox;Shooter;Physics;Atmospheric;Classic;Dark Humor;Funny;Gore;Satire;Co-op,2,20,0.0,0.0,0.0,1,144570,30702,175272,0.8248,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,0
899770,Last Epoch,Eleventh Hour Games,"Eleventh Hour Games, KRAFTON, Inc","Action, Adventure, Indie, RPG",Action RPG;Loot;Hack and Slash;RPG;Isometric;Multiplayer;Action;Co-op;Adventure;Top-Down;Dungeon Crawler;Indie;Singleplayer;Fantasy;Gore;MMORPG;Character Customization;Magic;Violent;Time Travel,4,20,34.99,34.99,0.0,0,88027,22596,110623,0.7957,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,5831
340,Half-Life 2: Lost Coast,Valve,Valve,Action,FPS;Action;Singleplayer;First-Person;Sci-fi;Shooter;Short;Aliens;Dystopian;Classic;Adventure;Atmospheric;Benchmark;Futuristic;Silent Protagonist;Free to Play;Post-apocalyptic;Story Rich;Multiplayer;Great Soundtrack,1,20,19.99,19.99,0.0,0,12215,1471,13686,0.8925,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,2
1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,RPG,Cyberpunk;Open World;Nudity;RPG;Singleplayer;Sci-fi;FPS;Story Rich;Mature;Futuristic;First-Person;Atmospheric;Exploration;Action;Violent;Great Soundtrack;Action RPG;Adventure;Character Customization;Immersive Sim,1,20,59.99,59.99,0.0,0,713071,131850,844921,0.8439,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,22265
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,Action,Horror;Multiplayer;Survival Horror;Online Co-Op;Co-op;Survival;Gore;Team-Based;Blood;Stealth;Third Person;Violent;First-Person;Psychological Horror;Action;Atmospheric;Strategy;Comedy;Mature;Difficult,1,20,19.99,19.99,0.0,0,630223,166993,797216,0.7905,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,44886
990080,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,"Action, Adventure, RPG",Magic;Open World;Fantasy;Singleplayer;Adventure;RPG;Character Customization;Exploration;Story Rich;Third Person;Action-Adventure;Atmospheric;Action RPG;Action;Combat;Choices Matter;Puzzle;Great Soundtrack;Dark;Family Friendly,3,20,59.99,59.99,0.0,0,289966,31429,321395,0.9022,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,5716
438100,VRChat,VRChat Inc.,VRChat Inc.,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",VR;Free to Play;Multiplayer;Anime;Memes;Funny;Massively Multiplayer;First-Person;Open World;Early Access;Simulation;Casual;Adventure;MMORPG;Comedy;Sandbox;Dating Sim;Survival Horror;Action;Atmospheric,7,20,0.0,0.0,0.0,1,181623,58732,240355,0.7556,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,34699
292030,The Witcher 3: Wild Hunt - Complete Edition,CD PROJEKT RED,CD PROJEKT RED,RPG,Open World;RPG;Story Rich;Atmospheric;Mature;Fantasy;Adventure;Singleplayer;Nudity;Choices Matter;Great Soundtrack;Third Person;Medieval;Action;Multiple Endings;Action RPG;Dark Fantasy;Magic;Dark;Sandbox,1,20,49.99,49.99,0.0,0,802993,32356,835349,0.9613,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,15893
945360,Among Us,Innersloth,Innersloth,Casual,Multiplayer;Social Deduction;Online Co-Op;Space;Survival;2D;Funny;Psychological;Party Game;Co-op;Cartoony;Local Multiplayer;Casual;Action;Sci-fi;PvP;Top-Down;Colorful;Minigames;Aliens,1,20,4.99,4.99,0.0,0,643681,57104,700785,0.9185,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,3832
1097150,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,"Action, Casual, Indie, Massively Multiplayer, Sports",Multiplayer;Party Game;Battle Royale;Family Friendly;Massively Multiplayer;Platformer;Cute;Funny;PvP;3D Platformer;Controller;Casual;Colorful;Action;Online Co-Op;Co-op;Comedy;Physics;Indie;Difficult,5,20,0.0,0.0,0.0,1,385154,88589,473743,0.813,1,"20,000,000 .. 50,000,000",20000000,50000000,35000000,0,0,0,664
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)","Action, RPG",Loot;Shooter;Action;Multiplayer;Co-op;Looter Shooter;FPS;RPG;First-Person;Funny;Comedy;Open World;Combat;Online Co-Op;Adventure;Action RPG;Dark Humor;Singleplayer;Memes;Sci-fi,2,20,4.99,19.99,75.0,0,272900,22318,295218,0.9244,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,8551
227300,Euro Truck Simulator 2,SCS Software,SCS Software,"Indie, Simulation",Driving;Transportation;Simulation;Open World;Automobile Sim;Realistic;Moddable;Relaxing;Exploration;Economy;Immersive Sim;Management;Atmospheric;Multiplayer;Controller;Family Friendly;Third Person;Adventure;Casual;Indie,2,20,19.99,19.99,0.0,0,844480,22924,867404,0.9736,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,17281
892970,Valheim,Iron Gate AB,Coffee Stain Publishing,"Action, Adventure, Indie, RPG",Open World Survival Craft;Survival;Online Co-Op;Open World;Multiplayer;Building;Crafting;Base-Building;Exploration;Co-op;Adventure;Difficult;Mythology;Sandbox;PvE;Third Person;Action;Singleplayer;Early Access;Indie,4,20,29.99,29.99,0.0,0,471451,28377,499828,0.9432,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,14439
739630,Phasmophobia,Kinetic Games,Kinetic Games,"Action, Indie, Early Access",Horror;Online Co-Op;Multiplayer;Psychological Horror;Co-op;Supernatural;VR;First-Person;Investigation;Dark;Demons;Detective;Mystery;Thriller;3D;Early Access;Indie;Action;Tactical;Singleplayer,3,20,13.99,19.99,30.0,0,736611,32168,768779,0.9582,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,9978
444090,Paladins,Evil Mojo Games,Hi-Rez Studios,"Action, Adventure, Massively Multiplayer, Strategy, Free To Play",Hero Shooter;Free to Play;Multiplayer;FPS;Shooter;Action;Team-Based;First-Person;PvP;MOBA;Online Co-Op;Fantasy;Controller;Strategy;Co-op;Character Customization;Massively Multiplayer;Colorful;Adventure;Funny,5,20,0.0,0.0,0.0,1,294373,52031,346404,0.8498,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,1028
1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,"Action, Adventure, Massively Multiplayer",Battle Royale;Multiplayer;Martial Arts;Mature;PvP;Action;Female Protagonist;Character Customization;Massively Multiplayer;Fighting;Survival;Third Person;Swordplay;Hack and Slash;Anime;Parkour;Adventure;Free to Play;Violent;Gore,3,20,0.0,0.0,0.0,1,225960,98967,324927,0.6954,0,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,66954
320,Half-Life 2: Deathmatch,Valve,Valve,Action,Action;FPS;Multiplayer;Shooter;First-Person;Sci-fi;Physics;Competitive;Funny;Co-op;Old School;PvP;Arena Shooter;Moddable;Atmospheric;Adventure;Great Soundtrack;Singleplayer;Violent;Mod,1,20,19.99,19.99,0.0,0,12962,1334,14296,0.9067,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,159
70,Half-Life,Valve,Valve,Action,FPS;Classic;1990's;Singleplayer;Sci-fi;Multiplayer;Shooter;Action;First-Person;Aliens;Story Rich;Silent Protagonist;Atmospheric;Gore;Retro;Moddable;Adventure;Action-Adventure;Difficult;PvP,1,20,9.99,9.99,0.0,0,143086,5135,148221,0.9654,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,634
582010,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,Co-op;Multiplayer;Action;Open World;RPG;Character Customization;Third Person;Adventure;Fantasy;Action RPG;Difficult;Singleplayer;Exploration;Great Soundtrack;Replay Value;Atmospheric;Hack and Slash;JRPG;MMORPG;Souls-like,1,20,7.79,29.99,74.0,0,434239,59151,493390,0.8801,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,11923
227940,Heroes & Generals,TLM Partners,TLM Partners,"Action, Free To Play, Indie, Massively Multiplayer, Strategy",Free to Play;World War II;FPS;Multiplayer;War;Shooter;Action;First-Person;Massively Multiplayer;Strategy;Tactical;Co-op;Historical;Open World;Simulation;Atmospheric;Adventure;Indie;Early Access;RTS,5,20,0.0,0.0,0.0,1,96499,46264,142763,0.6759,0,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,0
252950,Rocket League,Psyonix LLC,Psyonix LLC,"Action, Indie, Racing, Sports",Multiplayer;Football (Soccer);Competitive;Sports;Racing;Team-Based;Online Co-Op;Football (American);Fast-Paced;Co-op;Action;Funny;Great Soundtrack;Local Multiplayer;Split Screen;Local Co-Op;Singleplayer;4 Player Local;Casual;Indie,4,20,0.0,0.0,0.0,1,509445,73775,583220,0.8735,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,21106
108600,Project Zomboid,The Indie Stone,The Indie Stone,"Indie, RPG, Simulation, Early Access",Survival;Zombies;Open World;Multiplayer;Open World Survival Craft;Sandbox;Post-apocalyptic;Co-op;Crafting;Building;Indie;Simulation;RPG;Survival Horror;Realistic;Isometric;Singleplayer;2D;Adventure;Early Access,4,20,24.99,24.99,0.0,0,355171,21892,377063,0.9419,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,22864
1966720,Lethal Company,Zeekerss,Zeekerss,"Action, Adventure, Indie, Early Access",Online Co-Op;Horror;First-Person;Co-op;Survival Horror;Exploration;Funny;Psychological Horror;Sci-fi;PvE;Atmospheric;Procedural Generation;Aliens;Time Management;Adventure;Dungeon Crawler;Action;Early Access;Action-Adventure;Perma Death,4,20,9.99,9.99,0.0,0,473422,13738,487160,0.9718,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,6199
1174180,Red Dead Redemption 2,Rockstar Games,Rockstar Games,"Action, Adventure",Open World;Story Rich;Western;Adventure;Multiplayer;Action;Realistic;Singleplayer;Shooter;Atmospheric;Horses;Beautiful;Mature;Third-Person Shooter;Great Soundtrack;Third Person;Gore;Sandbox;First-Person;FPS,2,20,59.99,59.99,0.0,0,676667,56875,733542,0.9225,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,29885
1517290,Battlefield 2042,DICE,Electronic Arts,"Action, Adventure, Casual",FPS;Multiplayer;Shooter;Military;War;Singleplayer;Action;First-Person;Combat;Team-Based;PvP;Futuristic;Vehicular Combat;Modern;Destruction;Physics;Cinematic;Adventure;Hero Shooter;Casual,3,20,59.99,59.99,0.0,0,139186,158588,297774,0.4674,0,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,2774
1240440,Halo Infinite,343 Industries,Xbox Game Studios,"Action, Free To Play",Free to Play;FPS;Multiplayer;Singleplayer;Shooter;Action;First-Person;Open World;Sci-fi;Co-op;PvP;Competitive;Story Rich;Space;Adventure;Aliens;Lore-Rich;Atmospheric;Cinematic;Soundtrack,2,20,0.0,0.0,0.0,1,123333,53708,177041,0.6966,0,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,2275
648800,Raft,Redbeet Interactive,Axolot Games,"Adventure, Indie, Simulation",Survival;Multiplayer;Open World Survival Craft;Co-op;Crafting;Open World;Building;Base-Building;Online Co-Op;Adventure;Sandbox;First-Person;Singleplayer;Underwater;Simulation;Early Access;Action;Indie;Strategy;Massively Multiplayer,3,20,19.99,19.99,0.0,0,323198,23161,346359,0.9331,1,"10,000,000 .. 20,000,000",10000000,20000000,15000000,0,0,0,4701
